store_name,license_id,square_feet,buffer_size,address,zip_code,census_tract,census_block,latitude,longitude
HOA NOM CO,8425,4200,B,1101 W ARGYLE ST,60640,17031031200,170310312002002,41.9731612999,-87.6578331796
HOLLYWOOD TOWER MKT,1858,3000,B,5701 N SHERIDAN RD,60660,17031030604,170310306042001,41.9856384210,-87.6550943233
HONG KONG MARKET,1892499,46300,A,520 W 24TH PL,60616,17031841100,170318411003017,41.8482371659,-87.6409555275
"HYDE PARK PRODUCE, LTD",1884100,10000,A,1226 E 53RD ST,60615,17031410700,170314107001003,41.7995768022,-87.5955129219
H & Z GROCERY STORE,3166,10001,A,3638 W WRIGHTWOOD AVE,60647,17031220702,170312207024010,41.9283452514,-87.7186708995
IMPERIAL TOWER MARKET,22624,6031,B,4250 N MARINE DR,60613,17031031400,170310314001001,41.9600199540,-87.6469060276
INTERNATIONAL FOODS NW INC,1129,14000,A,4404 W FULLERTON AVE,60639,17031200200,170312002003012,41.9244726356,-87.7367895050
INTERNATIONAL SUPERMARKET INC,16712,7500,B,4556 S ASHLAND AVE,60609,17031610400,170316104001000,41.8105656774,-87.6651705169
JAMAICA FOOD & LIQUOR INC,22679,2500,B,4252 S COTTAGE GROVE AVE,60653,17031380100,170313801001032,41.8170297652,-87.6068579199
J AND P FINER FOODS,1567,4500,B,3501 W MONTROSE AVE,60618,17031160501,170311605012002,41.9609885935,-87.7156463163
J & A ORIENTAL FOOD MART,30859,10001,A,5755 W FULLERTON AVE,60639,17031191302,170311913022003,41.9237993545,-87.7706332364
JARDAN FOOD & LIQUOR,11226,9500,B,317 E GARFIELD BLVD,60637,17031400400,170314004001003,41.7943249341,-87.6185206053
JERUSALEM LIQUORS,440,4500,B,3133 W LAWRENCE AVE,60625,17031140800,170311408005007,41.9683547002,-87.7073943249
JEWEL FOOD STORE,1953613,62603,A,11730 S MARSHFIELD AVE,60643,17031750500,170317505004003,41.6803322053,-87.6625846787
JEWEL FOOD STORE #3030,1000572,31951,A,7530 S STONY ISLAND AVE,60649,17031834200,170318342004016,41.7578056585,-87.5862682580
JEWEL FOOD STORE #3043,1144384,37641,A,443 E 34TH ST,60616,17031351000,170313510002003,41.8330447382,-87.6146113644
