systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
14485,2893,MICHIGAN,"1,3,4,6,J14,26,28",Michigan & Congress,-87.6241263,41.8755402
1471,2894,LINCOLN,11,Lincoln & Addison/Ravenswood,-87.67355086,41.94681628
9890,2895,NORTHWEST HWY,68,Northwest Hwy & Bryn Mawr,-87.78189516,41.98279324
9647,2896,AUSTIN,91,Austin & Grand,-87.77552026,41.92076102
4666,2897,NARRAGANSETT,55N,Narragansett & 55th Street,-87.78170105,41.79215692
15031,2898,S. SHORE DRIVE,"N5,6,26,71",S. Shore Drive & 79th Street,-87.54830314,41.75207908
12805,2899,INDIANA,12,Indiana & 16th Street,-87.6225279,41.86040604
9839,2900,HARLEM,88,Harlem Blue Line Station,-87.80712208,41.9822963
8212,2901,WESTERN,49,Western & Armitage,-87.68753555,41.91767102
5884,2902,HALSTED,8,Halsted & 61st Street,-87.64477528,41.78319558
2198,2903,KING DRIVE,3,King Drive & 31st Street,-87.61755622,41.83854292
2326,2904,STATE,29,State & Pershing,-87.62629943,41.82361194
2121,2905,KING DRIVE,3,King Drive & 79th Street,-87.61487151,41.75130653
4712,2906,PULASKI,53A,Pulaski & 63rd Street,-87.72260073,41.77852849
14150,2907,BELMONT,"77,151,156",Belmont & Halsted Terminal,-87.64876851,41.94021911
11758,2908,NARRAGANSETT,86,Narragansett & Addison,-87.786225,41.945578
15495,2909,JEFFERY,"J14,15",Jeffery & 87th Street,-87.57562565,41.73696056
3870,2910,LARAMIE,57,Laramie & Ohio,-87.755384,41.891163
4194,2911,CALIFORNIA,94,California & Ogden,-87.69566203,41.86113458
4606,2912,CICERO,"54B,62",Cicero & Archer,-87.74273032,41.79847147
11630,2913,CENTRAL,85,Central & Higgins,-87.76745586,41.97015064
2167,2914,KING DRIVE,3,King Drive & 35th Street,-87.61685334,41.83146567
1170,2915,SHERIDAN,151,Sheridan & Irving Park,-87.65447745,41.95464582
11248,2916,HOMAN,82,Homan & Augusta,-87.71148,41.89906
9462,2917,87TH STREET,87,87th Street & South Chicago,-87.56642826,41.73725316
11085,2918,DIVERSEY,76,Diversey & Cicero,-87.74637134,41.93160721
17229,2919,ASHLAND,"9,X9",Ashland & 18th Street,-87.66600159,41.85806609
15931,2920,LAWRENCE,81,Lawrence & California,-87.69888391,41.96860122
4818,2921,FOSTER,"92,93",Foster & Kedzie,-87.70844946,41.97582525
3115,2922,47TH STREET,47,47th Street & Kedzie,-87.70425837,41.80818686
788,2923,GRAND,65,Grand & Damen,-87.67672064,41.89092435
14969,2924,26TH STREET,60,26th Street & Kedzie,-87.70522148,41.84456523
9346,2925,BELMONT,77,Belmont & Oak Park,-87.79558107,41.93824434
12080,2926,TOUHY,96,Touhy & Sacramento,-87.70424898,42.01204756
13022,2927,60TH STREET,59,60th Street & Stony Island,-87.58694104,41.78618935
15462,2928,FULLERTON,74,Fullerton & Menard,-87.77112314,41.92398394
126,2929,JACKSON,126,Jackson & Homan,-87.71111733,41.87735315
3505,2930,95TH STREET,,95th Street & Halsted,-87.64342,41.72136
17459,2931,BELMONT,77,Belmont & Laramie,-87.75636949,41.9386466
17493,2932,IRVING PARK,80,Irving Park & Western,-87.68816718,41.95392486
6447,2933,WENTWORTH,24,Wentworth & 70th Street,-87.629742,41.76714
6550,2934,VINCENNES,24,Vincennes & 78th Street,-87.63377,41.752868
6538,2935,WENTWORTH,24,Wentworth & 66th Street,-87.63008,41.774693
6501,2936,WENTWORTH,"24,31",3200 S Wentworth,-87.631677,41.836478
1593,2937,MICHIGAN,"1,3,4",Michigan & 14th Street,-87.624185,41.863883
17175,2938,MILWAUKEE,56,Milwaukee & Lawrence,-87.76069067,41.96771631
6520,2939,WELLS,24,Wells & 51st Street,-87.63205788,41.80161227
2884,2940,111TH STREET,111,111th Street & Stewart,-87.63308275,41.69242203
4772,2941,FOSTER,"82,92",Foster & Spaulding,-87.711223,41.97566
9264,2942,BELMONT,77,Belmont & Kilbourn,-87.73964006,41.9388293
